"customer_id","account_num","lname","fname","mi","address1","address2","address3","address4","city","state_province","postal_code","country","customer_region_id","phone1","phone2","birthdate","marital_status","yearly_income","gender","total_children","num_children_at_home","education","date_accnt_opened","member_card","occupation","houseowner","num_cars_owned"
1,87462024688,"Nowmer","Sheri","A.","2433 Bailey Road","","","","Tlaxiaco","Oaxaca","15057","Mexico",30,"271-555-9715","119-555-1969",1961-08-26 00:00:00,"M","$30K - $50K","F",4,2,"Partial High School",1991-09-10 00:00:00,"Bronze","Skilled Manual","Y",4
2,87470586299,"Whelply","Derrick","I.","2219 Dewing Avenue","","","","Sooke","BC","17172","Canada",101,"211-555-7669","807-555-9033",1915-07-03 00:00:00,"S","$70K - $90K","M",1,0,"Partial High School",1993-03-11 00:00:00,"Bronze","Professional","N",3
3,87475757600,"Derry","Jeanne","","7640 First Ave.","","","","Issaquah","WA","73980","USA",21,"656-555-2272","221-555-2493",1910-06-21 00:00:00,"M","$50K - $70K","F",1,1,"Bachelors Degree",1991-06-11 00:00:00,"Bronze","Professional","Y",2
4,87500482201,"Spence","Michael","J.","337 Tosca Way","","","","Burnaby","BC","74674","Canada",92,"929-555-7279","272-555-2844",1969-06-20 00:00:00,"M","$10K - $30K","M",4,4,"Partial High School",1994-05-21 00:00:00,"Normal","Skilled Manual","N",2
5,87514054179,"Gutierrez","Maya","","8668 Via Neruda","","","","Novato","CA","57355","USA",42,"387-555-7172","260-555-6936",1951-05-10 00:00:00,"S","$30K - $50K","F",3,0,"Partial College",1992-08-21 00:00:00,"Silver","Manual","N",3
6,87517782449,"Damstra","Robert","F.","1619 Stillman Court","","","","Lynnwood","WA","90792","USA",75,"922-555-5465","333-555-5915",1942-10-08 00:00:00,"S","$70K - $90K","F",3,0,"Bachelors Degree",1992-04-05 00:00:00,"Bronze","Professional","Y",3
7,87521172800,"Kanagaki","Rebecca","","2860 D Mt. Hood Circle","","","","Tlaxiaco","Oaxaca","13343","Mexico",30,"515-555-6247","934-555-9211",1949-03-27 00:00:00,"M","$30K - $50K","F",2,1,"Partial High School",1991-05-01 00:00:00,"Bronze","Manual","Y",3
8,87539744377,"Brunner","Kim","H.","6064 Brodia Court","","","","San Andres","DF","12942","Mexico",106,"411-555-6825","130-555-6818",1922-08-10 00:00:00,"M","$50K - $70K","M",2,2,"Bachelors Degree",1992-06-11 00:00:00,"Bronze","Professional","Y",3
9,87544797658,"Blumberg","Brenda","C.","7560 Trees Drive","","","","Richmond","BC","17256","Canada",90,"815-555-3975","642-555-6483",1979-06-23 00:00:00,"M","$10K - $30K","M",5,3,"Partial High School",1993-11-14 00:00:00,"Normal","Skilled Manual","Y",1
10,87568712234,"Stanz","Darren","M.","1019 Kenwal Rd.","","","","Lake Oswego","OR","82017","USA",64,"847-555-5443","212-555-8635",1949-08-26 00:00:00,"S","$30K - $50K","M",4,0,"Bachelors Degree",1993-05-04 00:00:00,"Golden","Management","N",4
